"Treatment","Timepoint","Replicate","BIM_mix","Escape_phage","Tracked_BIM","total_CFU","Strain","Titre"
"1-clone","2","9","9","9","9",3e+08,"PFU",2e+07
"1-clone","2","10","10","10","10",4.9e+08,"PFU",1.6e+07
"1-clone","2","11","11","11","11",1.6e+08,"PFU",2.4e+07
"1-clone","2","12","12","12","12",3.72e+09,"PFU",1.2e+07
"1-clone","2","13","13","13","13",3e+08,"PFU",2.4e+07
"1-clone","2","14","14","14","14",2.1e+08,"PFU",2e+07
"1-clone","2","15","15","15","15",4.1e+08,"PFU",2.4e+07
"1-clone","2","16","16","16","16",6.6e+08,"PFU",1.2e+08
"1-clone","2","17","17","17","17",2.6e+08,"PFU",36000
"1-clone","2","18","18","18","18",5e+08,"PFU",6e+06
"1-clone","2","19","19","19","19",2.7e+08,"PFU",6200000
"1-clone","2","20","20","20","20",3e+08,"PFU",2.2e+07
"1-clone","2","21","21","21","21",2.9e+08,"PFU",3e+07
"1-clone","2","22","22","22","22",1.3e+08,"PFU",1.4e+07
"1-clone","2","23","23","23","23",3.5e+08,"PFU",2.8e+07
"1-clone","2","24","24","24","24",2.4e+08,"PFU",1.4e+07
"1-clone","3","1","1","1","1",2.4e+08,"PFU",240000
"1-clone","3","2","2","2","2",3.6e+08,"PFU",220000
"1-clone","3","3","3","3","3",1.7e+08,"PFU",160000
"1-clone","3","4","4","4","4",1.6e+08,"PFU",220000
"1-clone","3","5","5","5","5",3.7e+08,"PFU",60000
"1-clone","3","6","6","6","6",1.2e+08,"PFU",120000
"1-clone","3","7","7","7","7",1.1e+08,"PFU",340000
"1-clone","3","8","8","8","8",1.3e+08,"PFU",220000
"1-clone","3","9","9","9","9",2.3e+08,"PFU",260000
"1-clone","3","10","10","10","10",2.7e+08,"PFU",380000
"1-clone","3","11","11","11","11",2e+08,"PFU",320000
"1-clone","3","12","12","12","12",1.6e+08,"PFU",260000
"1-clone","3","13","13","13","13",1.54e+09,"PFU",480000
"1-clone","3","14","14","14","14",6.7e+08,"PFU",2e+05
"1-clone","3","15","15","15","15",1.14e+09,"PFU",5e+05
"1-clone","3","16","16","16","16",3.84e+09,"PFU",340000
"1-clone","3","17","17","17","17",5.1e+08,"PFU",3e+05
"1-clone","3","18","18","18","18",2.5e+08,"PFU",240000
"1-clone","3","19","19","19","19",1.7e+08,"PFU",1.6e+07
"1-clone","3","20","20","20","20",1.8e+08,"PFU",240000
"1-clone","3","21","21","21","21",2e+08,"PFU",2e+05
"1-clone","3","22","22","22","22",3.4e+08,"PFU",240000
"1-clone","3","23","23","23","23",2e+08,"PFU",4e+05
"1-clone","3","24","24","24","24",7.1e+08,"PFU",140000
"1-clone_control","0","1","1","ancestral","1",3200000,"PFU",480000
"1-clone_control","0","2","2","ancestral","2",2500000,"PFU",4e+05
"1-clone_control","0","3","3","ancestral","3",3400000,"PFU",120000
"1-clone_control","0","4","4","ancestral","4",3100000,"PFU",1400000
"1-clone_control","0","5","5","ancestral","5",5500000,"PFU",1400000
"1-clone_control","0","6","6","ancestral","6",3200000,"PFU",1600000
"1-clone_control","0","7","7","ancestral","7",5600000,"PFU",1e+06
"1-clone_control","0","8","8","ancestral","8",4e+06,"PFU",6e+05
"1-clone_control","0","9","9","ancestral","9",2400000,"PFU",1e+06
"1-clone_control","0","10","10","ancestral","10",2500000,"PFU",1e+06
"1-clone_control","0","11","11","ancestral","11",2300000,"PFU",1e+06
"1-clone_control","0","12","12","ancestral","12",3300000,"PFU",1e+06
"1-clone_control","0","13","13","ancestral","13",3900000,"PFU",4e+05
"1-clone_control","0","14","14","ancestral","14",2400000,"PFU",240000
"1-clone_control","0","15","15","ancestral","15",4900000,"PFU",420000
"1-clone_control","0","16","16","ancestral","16",4400000,"PFU",4e+05
"1-clone_control","0","17","17","ancestral","17",2200000,"PFU",360000
"1-clone_control","0","18","18","ancestral","18",4800000,"PFU",1400000
"1-clone_control","0","19","19","ancestral","19",2200000,"PFU",1400000
"1-clone_control","0","20","20","ancestral","20",2900000,"PFU",6e+05
"1-clone_control","0","21","21","ancestral","21",2200000,"PFU",1600000
"1-clone_control","0","22","22","ancestral","22",3e+06,"PFU",420000
"1-clone_control","0","23","23","ancestral","23",3e+06,"PFU",440000
"1-clone_control","0","24","24","ancestral","24",1e+06,"PFU",1e+06
"1-clone_control","1","1","1","ancestral","1",8.6e+08,"PFU",2000
"1-clone_control","1","2","2","ancestral","2",2.3e+08,"PFU",1200
"1-clone_control","1","3","3","ancestral","3",4.1e+08,"PFU",5e+05
"1-clone_control","1","4","4","ancestral","4",7.6e+08,"PFU",2.4e+08
"1-clone_control","1","5","5","ancestral","5",5.4e+08,"PFU",2000
"1-clone_control","1","6","6","ancestral","6",3e+08,"PFU",2200000
"1-clone_control","1","7","7","ancestral","7",2e+08,"PFU",3.2e+07
"1-clone_control","1","8","8","ancestral","8",5.1e+08,"PFU",2.4e+07
"1-clone_control","1","9","9","ancestral","9",2.2e+08,"PFU",2e+07
"1-clone_control","1","10","10","ancestral","10",2.7e+08,"PFU",1800000
"1-clone_control","1","11","11","ancestral","11",3e+08,"PFU",10000
"1-clone_control","1","12","12","ancestral","12",4.1e+08,"PFU",1600000
"1-clone_control","1","13","13","ancestral","13",2.6e+08,"PFU",2200000
"1-clone_control","1","14","14","ancestral","14",4.4e+08,"PFU",2e+05
"1-clone_control","1","15","15","ancestral","15",3.2e+08,"PFU",1.6e+08
"1-clone_control","1","16","16","ancestral","16",3.5e+08,"PFU",50000
"1-clone_control","1","17","17","ancestral","17",3.6e+08,"PFU",340000
"1-clone_control","1","18","18","ancestral","18",4e+08,"PFU",1.4e+07
"1-clone_control","1","19","19","ancestral","19",2.2e+08,"PFU",2e+06
"1-clone_control","1","20","20","ancestral","20",5e+08,"PFU",1200
"1-clone_control","1","21","21","ancestral","21",1.5e+08,"PFU",3.2e+08
"1-clone_control","1","22","22","ancestral","22",3.2e+08,"PFU",30000
"1-clone_control","1","23","23","ancestral","23",2.8e+08,"PFU",1.6e+07
"1-clone_control","1","24","24","ancestral","24",4.1e+08,"PFU",1400000
"1-clone_control","2","1","1","ancestral","1",1.01e+09,"PFU",10000
"1-clone_control","2","2","2","ancestral","2",1.02e+09,"PFU",1400
