Treatment,Timepoint,Replicate,Phage.isolate,Targetted,Other,Other.ID.1,Other.ID.2
24-clone,2,3,10,NA,NA,NA,NA
24-clone,2,3,11,NA,NA,NA,NA
24-clone,2,3,12,NA,NA,NA,NA
24-clone,2,4,1,NA,NA,NA,NA
24-clone,2,4,2,NA,NA,NA,NA
24-clone,2,4,3,NA,NA,NA,NA
24-clone,2,4,4,NA,NA,NA,NA
24-clone,2,4,5,NA,NA,NA,NA
24-clone,2,4,6,NA,NA,NA,NA
24-clone,2,4,7,NA,NA,NA,NA
24-clone,2,4,8,NA,NA,NA,NA
24-clone,2,4,9,NA,NA,NA,NA
24-clone,2,4,10,NA,NA,NA,NA
24-clone,2,4,11,NA,NA,NA,NA
24-clone,2,4,12,NA,NA,NA,NA
24-clone,2,5,1,1,0,,
24-clone,2,5,2,1,0,,
24-clone,2,5,3,1,0,,
24-clone,2,5,4,1,0,,
24-clone,2,5,5,1,0,,
24-clone,2,5,6,1,0,,
24-clone,2,5,7,1,0,,
24-clone,2,5,8,1,0,,
24-clone,2,5,9,NA,NA,NA,NA
24-clone,2,5,10,NA,NA,NA,NA
24-clone,2,5,11,NA,NA,NA,NA
24-clone,2,5,12,NA,NA,NA,NA
24-clone,2,6,1,NA,NA,NA,NA
24-clone,2,6,2,NA,NA,NA,NA
24-clone,2,6,3,NA,NA,NA,NA
24-clone,2,6,4,NA,NA,NA,NA
24-clone,2,6,5,NA,NA,NA,NA
24-clone,2,6,6,NA,NA,NA,NA
24-clone,2,6,7,NA,NA,NA,NA
24-clone,2,6,8,NA,NA,NA,NA
24-clone,2,6,9,NA,NA,NA,NA
24-clone,2,6,10,NA,NA,NA,NA
24-clone,2,6,11,NA,NA,NA,NA
24-clone,2,6,12,NA,NA,NA,NA
24-clone,2,7,1,NA,NA,NA,NA
24-clone,2,7,2,NA,NA,NA,NA
24-clone,2,7,3,NA,NA,NA,NA
24-clone,2,7,4,NA,NA,NA,NA
24-clone,2,7,5,NA,NA,NA,NA
24-clone,2,7,6,NA,NA,NA,NA
24-clone,2,7,7,NA,NA,NA,NA
24-clone,2,7,8,NA,NA,NA,NA
24-clone,2,7,9,NA,NA,NA,NA
24-clone,2,7,10,NA,NA,NA,NA
24-clone,2,7,11,NA,NA,NA,NA
24-clone,2,7,12,NA,NA,NA,NA
24-clone,2,8,1,1,0,,
24-clone,2,8,2,1,0,,
24-clone,2,8,3,1,0,,
24-clone,2,8,4,1,0,,
24-clone,2,8,5,1,0,,
24-clone,2,8,6,1,0,,
24-clone,2,8,7,1,0,,
24-clone,2,8,8,1,0,,
24-clone,2,8,9,1,0,,
24-clone,2,8,10,1,0,,
24-clone,2,8,11,1,0,,
24-clone,2,8,12,1,0,,
3-clone,3,1,1,1,1,2,
3-clone,3,1,2,1,1,2,
3-clone,3,1,3,1,1,2,
3-clone,3,1,4,1,1,2,
3-clone,3,1,5,1,1,2,
3-clone,3,1,6,1,1,2,
3-clone,3,1,7,1,1,2,
3-clone,3,1,8,1,1,2,
3-clone,3,1,9,1,1,2,
3-clone,3,1,10,1,1,2,
3-clone,3,1,11,1,1,2,
3-clone,3,1,12,1,1,2,
3-clone,3,3,1,1,0,NA,
3-clone,3,3,2,1,0,NA,
3-clone,3,3,3,1,0,NA,
3-clone,3,3,4,1,0,NA,
3-clone,3,3,5,1,0,NA,
3-clone,3,3,6,1,0,NA,
3-clone,3,3,7,1,0,NA,
3-clone,3,3,8,1,0,NA,
3-clone,3,3,9,1,0,NA,
3-clone,3,3,10,1,0,NA,
3-clone,3,3,11,1,0,NA,
3-clone,3,3,12,1,0,NA,
3-clone,3,4,1,1,1,11,
3-clone,3,4,2,1,1,11,
3-clone,3,4,3,1,1,11,
3-clone,3,4,4,1,1,11,
3-clone,3,4,5,1,1,11,
3-clone,3,4,6,1,1,11,
3-clone,3,4,7,1,1,11,
3-clone,3,4,8,1,1,11,
3-clone,3,4,9,1,1,11,
3-clone,3,4,10,1,1,11,
3-clone,3,4,11,1,1,11,
3-clone,3,4,12,1,1,11,
3-clone,3,5,1,1,0,NA,
3-clone,3,5,2,1,0,NA,
3-clone,3,5,3,1,0,NA,
3-clone,3,5,4,1,0,NA,
3-clone,3,5,5,1,0,NA,
3-clone,3,5,6,1,0,NA,
3-clone,3,5,7,1,0,NA,
3-clone,3,5,8,1,0,NA,
3-clone,3,5,9,1,0,NA,
3-clone,3,5,10,1,0,NA,
3-clone,3,5,11,1,0,NA,
3-clone,3,5,12,1,0,NA,
3-clone,3,6,1,1,1,18,
3-clone,3,6,2,1,1,18,
3-clone,3,6,3,1,1,18,
3-clone,3,6,4,1,1,18,
3-clone,3,6,5,1,1,18,
3-clone,3,6,6,1,1,18,
3-clone,3,6,7,1,1,18,
3-clone,3,6,8,1,1,18,
3-clone,3,6,9,1,1,18,
3-clone,3,6,10,1,1,18,
3-clone,3,6,11,1,1,18,
3-clone,3,6,12,1,1,18,
3-clone,3,7,1,1,0,NA,
3-clone,3,7,2,1,0,NA,
3-clone,3,7,3,1,0,NA,
3-clone,3,7,4,1,0,NA,
3-clone,3,7,5,1,0,NA,
3-clone,3,7,6,1,0,NA,
3-clone,3,7,7,1,0,NA,
3-clone,3,7,8,1,0,NA,
3-clone,3,7,9,1,0,NA,
3-clone,3,7,10,1,0,NA,
3-clone,3,7,11,1,0,NA,
3-clone,3,7,12,1,0,NA,
3-clone,3,8,1,1,1,23,
3-clone,3,8,2,1,1,23,
3-clone,3,8,3,1,1,23,
3-clone,3,8,4,1,1,23,
3-clone,3,8,5,1,1,23,
3-clone,3,8,6,1,1,23,
3-clone,3,8,7,1,1,23,
3-clone,3,8,8,1,1,23,
3-clone,3,8,9,1,1,23,
3-clone,3,8,10,1,1,23,
3-clone,3,8,11,1,1,23,
3-clone,3,8,12,1,1,23,
6-clone,3,1,1,1,1,6,NA
6-clone,3,1,2,1,1,6,NA
6-clone,3,1,3,1,1,6,NA
6-clone,3,1,4,1,1,6,NA
6-clone,3,1,5,1,1,6,NA
6-clone,3,1,6,1,1,6,NA
6-clone,3,1,7,1,1,6,NA
6-clone,3,1,8,1,1,6,NA
6-clone,3,1,9,1,1,6,NA
6-clone,3,1,10,1,1,6,NA
6-clone,3,1,11,1,1,6,NA
6-clone,3,1,12,1,1,6,NA
6-clone,3,2,1,1,1,6,NA
6-clone,3,2,2,1,1,6,NA
6-clone,3,2,3,1,1,6,NA
6-clone,3,2,4,1,1,6,NA
6-clone,3,2,5,1,1,6,NA
6-clone,3,2,6,1,1,6,NA
6-clone,3,2,7,1,1,6,NA
6-clone,3,2,8,1,1,6,NA
6-clone,3,2,9,1,1,6,NA
6-clone,3,2,10,1,1,6,NA
6-clone,3,2,11,1,1,6,NA
6-clone,3,2,12,1,1,6,NA
6-clone,3,4,1,1,1,7,NA
6-clone,3,4,2,1,1,7,NA
6-clone,3,4,3,1,1,7,NA
6-clone,3,4,4,1,1,7,NA
6-clone,3,4,5,1,1,7,NA
6-clone,3,4,6,1,1,7,NA
6-clone,3,4,7,1,1,7,NA
6-clone,3,4,8,1,1,7,NA
6-clone,3,4,9,1,1,7,NA
6-clone,3,4,10,1,1,7,NA
6-clone,3,4,11,1,1,7,NA
6-clone,3,4,12,1,1,7,NA
6-clone,3,5,1,1,0,NA,NA
6-clone,3,5,2,1,0,NA,NA
6-clone,3,5,3,1,0,NA,NA
6-clone,3,5,4,1,0,NA,NA
6-clone,3,5,5,1,0,NA,NA
6-clone,3,5,6,1,0,NA,NA
6-clone,3,5,7,1,0,NA,NA
6-clone,3,5,8,1,0,NA,NA
6-clone,3,5,9,1,0,NA,NA
6-clone,3,5,10,1,0,NA,NA
6-clone,3,5,11,1,0,NA,NA
6-clone,3,5,12,1,0,NA,NA
6-clone,3,6,1,1,1,18,NA
6-clone,3,6,2,1,1,18,NA
6-clone,3,6,3,1,1,18,NA
6-clone,3,6,4,1,1,18,NA
6-clone,3,6,5,1,1,18,NA
6-clone,3,6,6,1,1,18,NA
6-clone,3,6,7,1,1,18,NA
6-clone,3,6,8,1,1,18,NA
6-clone,3,6,9,1,1,18,NA
6-clone,3,6,10,1,1,18,NA
6-clone,3,6,11,1,1,18,NA
6-clone,3,6,12,1,1,18,NA
6-clone,3,7,1,1,1,21,NA
6-clone,3,7,2,1,1,21,NA
6-clone,3,7,3,1,1,21,NA
6-clone,3,7,4,1,1,21,NA
6-clone,3,7,5,1,1,21,NA
6-clone,3,7,6,1,1,21,NA
6-clone,3,7,7,1,1,21,NA
6-clone,3,7,8,1,1,21,NA
6-clone,3,7,9,1,1,21,NA
6-clone,3,7,10,1,1,21,NA
6-clone,3,7,11,1,1,21,NA
6-clone,3,7,12,1,1,21,NA
6-clone,3,8,1,1,1,21,NA
6-clone,3,8,2,1,1,21,NA
6-clone,3,8,3,1,1,21,NA
6-clone,3,8,4,1,1,21,NA
6-clone,3,8,5,1,1,21,NA
6-clone,3,8,6,1,1,21,NA
6-clone,3,8,7,1,1,21,NA
6-clone,3,8,8,1,1,21,NA
6-clone,3,8,9,1,1,21,NA
6-clone,3,8,10,1,1,21,NA
6-clone,3,8,11,1,1,21,NA
6-clone,3,8,12,1,1,21,NA
12-clone,3,2,1,1,0,NA,
12-clone,3,2,2,1,0,NA,
12-clone,3,2,3,1,0,NA,
12-clone,3,2,4,1,0,NA,
12-clone,3,2,5,1,0,NA,
12-clone,3,2,6,1,0,NA,
12-clone,3,2,7,1,0,NA,
12-clone,3,2,8,1,0,NA,
12-clone,3,2,9,1,0,NA,
12-clone,3,2,10,1,0,NA,
12-clone,3,2,11,1,0,NA,
12-clone,3,2,12,1,0,NA,
12-clone,3,7,1,1,1,21,
12-clone,3,7,2,1,1,21,
12-clone,3,7,3,1,1,21,
12-clone,3,7,4,1,1,21,
12-clone,3,7,5,1,1,21,
12-clone,3,7,6,1,1,21,
12-clone,3,7,7,1,1,21,
12-clone,3,7,8,1,1,21,
12-clone,3,7,9,1,1,21,
12-clone,3,7,10,1,1,21,
12-clone,3,7,11,1,1,21,
12-clone,3,7,12,1,1,21,
24-clone,3,2,1,1,0,NA,
24-clone,3,2,2,1,0,NA,
24-clone,3,2,3,1,0,NA,
24-clone,3,2,4,1,0,NA,
24-clone,3,2,5,1,0,NA,
24-clone,3,2,6,1,0,NA,
24-clone,3,2,7,1,0,NA,
24-clone,3,2,8,1,0,NA,
24-clone,3,2,9,1,0,NA,
24-clone,3,2,10,1,0,NA,
24-clone,3,2,11,1,0,NA,
