Metadata,,,,,,Phage,,,Bacteria counts,,,,,Bacteria CFU,,,,,Bacteria fractions,,,,Relative fitness,,,
Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,phage_count,phage_dilution,PFU,SM_count,CRISPR_count,BIM_count,white_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,white_CFU,total_CFU,frac_SM,frac_CRISPR,frac_BIM,frac_white,w_SM,w_CRISPR,w_BIM,w_white
3-clone,3,3,07-Sep,7,7,10,1.00E+00,2000,48,13,3,10,1.00E+06,480000000,130000000,30000000,100000000,610000000,0.786885246,0.213114754,0.230769231,0.769230769,7.384615385,0.135416667,0.525,1.904761905
3-clone,3,4,Oct-13,10,10,8,1.00E+02,160000,20,16,0,16,1.00E+06,200000000,160000000,0,160000000,360000000,0.555555556,0.444444444,0,1,1.590909091,0.628571429,0,#DIV/0!
3-clone,3,5,14-16,14,14,10,1.00E+01,20000,51,3,1,2,1.00E+06,510000000,30000000,10000000,20000000,540000000,0.944444444,0.055555556,0.333333333,0.666666667,13.90909091,0.071895425,1,1
3-clone,3,6,17-19,17,17,25,1.00E+05,500000000,19,3,0,3,1.00E+06,190000000,30000000,0,30000000,220000000,0.863636364,0.136363636,0,1,5.277777778,0.189473684,0,#DIV/0!
3-clone,3,7,19-21,19,19,12,1.00E+03,2400000,9,35,19,16,1.00E+06,90000000,350000000,190000000,160000000,440000000,0.204545455,0.795454545,0.542857143,0.457142857,0.3,3.333333333,4.354166667,0.229665072
3-clone,3,8,22-24,22,22,7,1.00E+02,140000,35,12,0,12,1.00E+06,350000000,120000000,0,120000000,470000000,0.744680851,0.255319149,0,1,1.887254902,0.52987013,0,#DIV/0!
6-clone,0,1,01-Jun,1,1,5,1.00E+03,1000000,18,13,1,12,1.00E+04,1800000,1300000,100000,1200000,3100000,0.580645161,0.419354839,0.076923077,0.923076923,1,1,1,1
6-clone,0,2,01-Jun,4,4,16,1.00E+03,3200000,17,17,2,15,1.00E+04,1700000,1700000,200000,1500000,3400000,0.5,0.5,0.117647059,0.882352941,1,1,1,1
6-clone,0,3,07-Dec,7,7,5,1.00E+03,1000000,48,67,6,61,1.00E+03,480000,670000,60000,610000,1150000,0.417391304,0.582608696,0.089552239,0.910447761,1,1,1,1
6-clone,0,4,07-Dec,10,10,2,1.00E+03,400000,12,18,2,16,1.00E+04,1200000,1800000,200000,1600000,3000000,0.4,0.6,0.111111111,0.888888889,1,1,1,1
6-clone,0,5,13-18,14,14,9,1.00E+03,1800000,17,5,1,4,1.00E+04,1700000,500000,100000,400000,2200000,0.772727273,0.227272727,0.2,0.8,1,1,1,1
6-clone,0,6,13-18,17,17,16,1.00E+03,3200000,12,9,3,6,1.00E+04,1200000,900000,300000,600000,2100000,0.571428571,0.428571429,0.333333333,0.666666667,1,1,1,1
6-clone,0,7,19-24,19,19,7,1.00E+03,1400000,12,10,2,8,1.00E+04,1200000,1000000,200000,800000,2200000,0.545454545,0.454545455,0.2,0.8,1,1,1,1
6-clone,0,8,19-24,22,22,5,1.00E+03,1000000,14,10,4,6,1.00E+04,1400000,1000000,400000,600000,2400000,0.583333333,0.416666667,0.4,0.6,1,1,1,1
6-clone,1,1,01-Jun,1,1,15,1.00E+02,300000,12,13,0,13,1.00E+06,120000000,130000000,0,130000000,250000000,0.48,0.52,0,1,0.666666667,1.5,0,1
6-clone,1,2,01-Jun,4,4,17,1.00E+03,3400000,8,8,0,8,1.00E+06,80000000,80000000,0,80000000,160000000,0.5,0.5,0,1,1,1,0,1
6-clone,1,3,07-Dec,7,7,25,1.00E+02,500000,13,30,3,27,1.00E+06,130000000,300000000,30000000,270000000,430000000,0.302325581,0.697674419,0.1,0.9,0.604861111,1.653272101,1.12962963,0.885245902
6-clone,1,4,07-Dec,10,10,6,1.00E+03,1200000,29,76,2,74,1.00E+06,290000000,760000000,20000000,740000000,1050000000,0.276190476,0.723809524,0.026315789,0.973684211,0.572368421,1.747126437,0.216216216,4.625
6-clone,1,5,13-18,14,14,7,1.00E+02,140000,20,29,4,25,1.00E+06,200000000,290000000,40000000,250000000,490000000,0.408163265,0.591836735,0.137931034,0.862068966,0.202839757,4.93,0.64,1.5625
6-clone,1,6,13-18,17,17,12,1.00E+02,240000,28,39,3,36,1.00E+06,280000000,390000000,30000000,360000000,670000000,0.417910448,0.582089552,0.076923077,0.923076923,0.538461538,1.857142857,0.166666667,6
6-clone,1,7,19-24,19,19,6,1.00E+01,12000,24,16,3,13,1.00E+06,240000000,160000000,30000000,130000000,400000000,0.6,0.4,0.1875,0.8125,1.25,0.8,0.923076923,1.083333333
6-clone,1,8,19-24,22,22,22,1.00E+03,4400000,28,16,3,13,1.00E+06,280000000,160000000,30000000,130000000,440000000,0.636363636,0.363636364,0.1875,0.8125,1.25,0.8,0.346153846,2.888888889
6-clone,2,1,01-Jun,1,1,30,1.00E+02,600000,15,9,0,9,1.00E+06,150000000,90000000,0,90000000,240000000,0.625,0.375,0,1,1.203703704,0.830769231,0,1
6-clone,2,2,01-Jun,4,4,7,1.00E+01,14000,27,13,0,13,1.00E+06,270000000,130000000,0,130000000,400000000,0.675,0.325,0,1,2.076923077,0.481481481,0,1
6-clone,2,3,07-Dec,7,7,17,1.00E+01,34000,18,13,1,12,1.00E+06,180000000,130000000,10000000,120000000,310000000,0.580645161,0.419354839,0.076923077,0.923076923,1.932692308,0.517412935,0.847222222,1.180327869
6-clone,2,4,07-Dec,10,10,4,1.00E+01,8000,18,14,1,13,1.00E+06,180000000,140000000,10000000,130000000,320000000,0.5625,0.4375,0.071428571,0.928571429,1.928571429,0.518518519,0.615384615,1.625
6-clone,2,5,13-18,14,14,27,1.00E+01,54000,68,57,6,51,1.00E+06,680000000,570000000,60000000,510000000,1250000000,0.544,0.456,0.105263158,0.894736842,0.350877193,2.85,0.470588235,2.125
6-clone,2,6,13-18,17,17,9,1.00E+01,18000,37,24,1,23,1.00E+06,370000000,240000000,10000000,230000000,610000000,0.606557377,0.393442623,0.041666667,0.958333333,1.15625,0.864864865,0.086956522,11.5
6-clone,2,7,19-24,19,19,11,1.00E+02,220000,25,31,4,27,1.00E+06,250000000,310000000,40000000,270000000,560000000,0.446428571,0.553571429,0.129032258,0.870967742,0.672043011,1.488,0.592592593,1.6875
6-clone,2,8,19-24,22,22,6,1.00E+01,12000,46,124,4,120,1.00E+06,460000000,1240000000,40000000,1200000000,1700000000,0.270588235,0.729411765,0.032258065,0.967741935,0.264976959,3.773913043,0.05,20
6-clone,3,1,01-Jun,1,1,17,1.00E+04,34000000,73,31,0,31,1.00E+06,730000000,310000000,0,310000000,1040000000,0.701923077,0.298076923,0,1,1.700716846,0.587987355,0,#DIV/0!
6-clone,3,2,01-Jun,4,4,16,1.00E+03,3200000,37,15,0,15,1.00E+06,370000000,150000000,0,150000000,520000000,0.711538462,0.288461538,0,1,2.466666667,0.405405405,0,#DIV/0!
6-clone,3,3,07-Dec,7,7,30,1.00E+02,600000,13,16,1,15,1.00E+06,130000000,160000000,10000000,150000000,290000000,0.448275862,0.551724138,0.0625,0.9375,1.134114583,0.881745121,0.677777778,1.475409836
6-clone,3,4,07-Dec,10,10,1,1.00E+00,200,111,75,6,69,1.00E+06,1110000000,750000000,60000000,690000000,1860000000,0.596774194,0.403225806,0.08,0.92,2.22,0.45045045,0.695652174,1.4375
6-clone,3,5,13-18,14,14,8,1.00E+02,160000,21,18,1,17,1.00E+06,210000000,180000000,10000000,170000000,390000000,0.538461538,0.461538462,0.055555556,0.944444444,0.343137255,2.914285714,0.235294118,4.25
6-clone,3,6,13-18,17,17,7,1.00E+01,14000,17,13,0,13,1.00E+06,170000000,130000000,0,130000000,300000000,0.566666667,0.433333333,0,1,0.980769231,1.019607843,0,#DIV/0!
6-clone,3,7,19-24,19,19,8,1.00E+03,1600000,16,18,10,8,1.00E+06,160000000,180000000,100000000,80000000,340000000,0.470588235,0.529411765,0.555555556,0.444444444,0.740740741,1.35,5,0.2
6-clone,3,8,19-24,22,22,15,1.00E+01,30000,14,27,1,26,1.00E+06,140000000,270000000,10000000,260000000,410000000,0.341463415,0.658536585,0.037037037,0.962962963,0.37037037,2.7,0.057692308,17.33333333
